parent_sku,variants_sku,product_name,inventory_jan_2026,sales_jan_may_2025,proj_inv_jun_1,sales_jun_dec_2025,buy_recommendation
jp1529-gr,jp1529-gr-la,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",27,22,5,32,27
jp19-24,jp1924-sm,Udei (brown) Unglazed Rectangular Bonsai Pot,0,17,0,20,20
jp1529-cr,jp1529-cr-la,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",6,16,0,16,16
0,0,0,0,0,0,16,16
jp2817,jp2817,"9"" Unglazed Japanese Bonsai Planter (No. 2817)",0,10,0,13,13
jp1529-bl,jp1529-bl-sm,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",0,7,0,12,12
jp19-27,jp1927-la,Oribe Glazed Rectangle Bonsai Pot,21,15,6,17,11
0,0,0,0,0,0,10,10
jp19-24,jp1924-la,Udei (brown) Unglazed Rectangular Bonsai Pot,14,5,9,18,9
0,0,0,0,0,0,8,8
jp1529-bl,jp1529-bl-me,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",0,17,0,8,8
jp0831-a,jp0831-a,Udei (brown) Unglazed Bonsai Pot (No. 0831),0,6,0,8,8
jp20-38,jp2914sm,Brown Unglazed Bonsai Pot,0,6,0,8,8
jp20-38,jp1917sm,Brown Unglazed Bonsai Pot,0,8,0,8,8
0,0,0,0,0,0,7,7
jp1552-gr,jp1552-gr-sm,"9-12"" Green Glazed Japanese Bonsai Pot (No. 1552)",0,3,0,7,7
0,0,0,0,0,0,7,7
jp1509,jp1509-sm,"Udei (brown) Unglazed Japanese Bonsai Pot (6-8"")",13,13,0,6,6
jp20-38,jp2038-la,Brown Unglazed Bonsai Pot,14,12,2,8,6
jp19-19,jp1919-sm,"5-6"" Cream Glazed Japanese Bonsai Pot",0,2,0,6,6
jp514,jp514-BL,"6"" Round Japanese Bonsai Pot (No. 514)",6,5,1,6,5
0,0,0,0,0,0,5,5
jp20-38,jp2914la,Brown Unglazed Bonsai Pot,0,5,0,5,5
jp514,jp514-UG,"6"" Round Japanese Bonsai Pot (No. 514)",5,5,0,5,5
jp29-14,jp2914-la,Udei Unglazed Tokoname Pot,1,3,0,5,5
jp1552-gr,jp1552-gr-me,"9-12"" Green Glazed Japanese Bonsai Pot (No. 1552)",4,8,0,5,5
jp20-38,jp1917la,Brown Unglazed Bonsai Pot,0,8,0,4,4
jp19-17,jp1917-sm,Udei Uglazed Bonsai Pot,3,8,0,4,4
0,0,0,0,0,0,4,4
jp19-17,jp1917-la,Udei Uglazed Bonsai Pot,0,8,0,4,4
jp29-15,jp2915-me,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",21,15,6,10,4
jp19-15,jp1915-sm,Cream Glazed Japanese Bonsai Pot (No. 19-15),0,11,0,4,4
0,0,0,0,0,0,3,3
0,0,0,0,0,0,3,3
0,0,0,0,0,0,3,3
0,0,0,0,0,0,3,3
jp18-7,jp18-7sm,Blue Glazed Tokoname Pot (jp18-7),0,1,0,3,3
jp20-38,jp2914me,Brown Unglazed Bonsai Pot,0,6,0,2,2
0,0,0,0,0,0,2,2
jp19-14,jp1914-la,Namako (blue) Glazed Bonsai Pot,3,8,0,2,2
jp1546,jp1546-10,"Light Blue (oval) Glazed Bonsai Pot (7-11"")",0,5,0,2,2
0,0,0,0,0,0,2,2
jp1552-gr,jp1552-gr-la,"9-12"" Green Glazed Japanese Bonsai Pot (No. 1552)",0,5,0,2,2
0,0,0,0,0,0,2,2
0,0,0,0,0,0,2,2
jp514,jp514-CR,"6"" Round Japanese Bonsai Pot (No. 514)",7,4,3,5,2
0,0,0,0,0,0,2,2
jp0819-23,jp0821,5-Inch Bonsai Pot - Boat Style is ideal for Bonsai or Succulents,0,6,0,2,2
jp20-42,jp2047-la,"6-12"" Glazed Japanese Yellow Bonsai Pot",10,8,2,4,2
0,0,0,0,0,0,2,2
jp19-15,jp1915-me,Cream Glazed Japanese Bonsai Pot (No. 19-15),0,2,0,1,1
0,0,0,0,0,0,1,1
jp29-14,jp2914-me,Udei Unglazed Tokoname Pot,7,3,4,5,1
jp19-19,jp1919-la,"5-6"" Cream Glazed Japanese Bonsai Pot",2,3,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
jp33-5,jp33-5,"6"" Unglazed Japanese Bonsai Planter (No. 33-5)",0,1,0,1,1
jp21-23,jp2123-sm,"Green (oval) Glazed Bonsai Pot (7-11"")",0,3,0,1,1
0,0,0,0,0,0,1,1
jp29-13,jp2917-la,Light Green Ceramic Japanese Bonsai Pot (Choose Size),0,5,0,1,1
jp29-13,jp2917-sm,Light Green Ceramic Japanese Bonsai Pot (Choose Size),0,11,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
jp29-2,jp292-me,"6-9"" Cream Glazed Japanese Bonsai Pot (No. 292)",7,1,6,7,1
0,0,0,0,0,0,1,1
jp514,jp514-GR,"6"" Round Japanese Bonsai Pot (No. 514)",0,1,0,1,1
0,0,0,0,0,0,1,1
jp29-12,jp2912-la,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),158,1,157,2,0
jp29-15,jp2911-sm,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",104,5,99,2,0
jp20-38,jp2038-sm,Brown Unglazed Bonsai Pot,60,12,48,6,0
jp29-15,jp2911-la,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",34,4,30,5,0
jp20-42,jp2042-la,"6-12"" Glazed Japanese Yellow Bonsai Pot",62,4,58,8,0
jp29-15,jp2911-me,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",130,9,121,1,0
jp20-42,jp2042-me,"6-12"" Glazed Japanese Yellow Bonsai Pot",193,1,192,2,0
jp21-21,jp2121-me,"Blue (oval) Glazed Bonsai Pot (7-11"")",0,1,0,0,0
jp21-16,jp2116-me,"6-8"" Blue Glazed Oval Japanese Bonsai Pot",68,1,67,2,0
jp28-4,C-jp28-4,"6"" Round Japanese Bonsai Pot",0,2,0,0,0
jp29-12,jp2912-sm,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),150,2,148,5,0
jp29-41,jp2943,"7-13"" Cream Glazed Japanese Bonsai Pot",7,3,4,3,0
jp28-4,NB-jp28-4,"6"" Round Japanese Bonsai Pot",0,1,0,0,0
jp28-9,LG-jp28-9,"5"" Glazed Round Japanese Bonsai Pot (Choose Color)",22,2,20,6,0
jp28-4,LG-jp28-4,"6"" Round Japanese Bonsai Pot",9,1,8,0,0
jp28-9,LB-jp28-9,"5"" Glazed Round Japanese Bonsai Pot (Choose Color)",16,3,13,1,0
jp30-13,jp3013-9,"Blue (rectangle) Glazed Bonsai Pot (7-11"")",0,4,0,0,0
jp30-13,jp3013-8,"Blue (rectangle) Glazed Bonsai Pot (7-11"")",0,1,0,0,0
jp30-13,jp3013-7,"Blue (rectangle) Glazed Bonsai Pot (7-11"")",3,1,2,1,0
jp30-13,jp3013-11,"Blue (rectangle) Glazed Bonsai Pot (7-11"")",0,2,0,0,0
jp30-1,jp30-1,"9"" Unglazed Japanese Bonsai Planter (No. 30-1)",0,10,0,0,0
jp29-41,jp2942,"7-13"" Cream Glazed Japanese Bonsai Pot",30,4,26,4,0
jp29-13,jp2913-la,Light Green Ceramic Japanese Bonsai Pot (Choose Size),65,6,59,11,0
jp29-2,jp292-sm,"6-9"" Cream Glazed Japanese Bonsai Pot (No. 292)",16,2,14,1,0
jp29-13,jp2917-me,Light Green Ceramic Japanese Bonsai Pot (Choose Size),19,4,15,7,0
jp29-12,jp2916-sm,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),23,1,22,7,0
jp29-12,jp2916-me,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),42,1,41,4,0
jp29-12,jp2916-la,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),53,3,50,2,0
jp20-38,jp2038-me,Brown Unglazed Bonsai Pot,30,10,20,4,0
jp29-15,jp2915-la,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0,1,0,0,0
jp29-14,jp2914-sm,Udei Unglazed Tokoname Pot,5,2,3,3,0
jp29-13,jp2913-me,Light Green Ceramic Japanese Bonsai Pot (Choose Size),118,4,114,2,0
jp29-15,jp2915-sm,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",25,2,23,0,0
jp19-21,jp1921-me,"6-8"" Namako Glazed Japanese Bonsai Pot (No. 1921)",153,5,148,5,0
jp198-10,jp198,"Cream (rectangle) Glazed Bonsai Pot (7-11"")",420,18,402,0,0
jp1552-br,jp1552-br-la,"9-12"" Brown Unglazed Japanese Bonsai Pot (No. 1552)",25,5,20,0,0
jp1552-bl,jp1552-bl-me,"9-12"" Blue Glazed Japanese Bonsai Pot (No. 1552)",52,4,48,3,0
jp1552-bl,jp1552-bl-la,"9-12"" Blue Glazed Japanese Bonsai Pot (No. 1552)",51,3,48,0,0
jp1546,jp1546-8,"Light Blue (oval) Glazed Bonsai Pot (7-11"")",4,1,3,1,0
jp21-22,jp1544-8,"Cream (oval) Glazed Bonsai Pot (7-11"")",0,2,0,0,0
jp1539,jp1539-cr-me,"Cream (oval) Glazed Bonsai Pot (6-8"")",35,1,34,0,0
jp1539,jp1539-cr-la,"Cream (oval) Glazed Bonsai Pot (6-8"")",27,1,26,6,0
jp1529-gr,jp1529-gr-sm,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",97,4,93,5,0
jp1529-gr,jp1529-gr-me,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",57,10,47,6,0
jp1529-cr,jp1529-cr-sm,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",58,5,53,4,0
jp1529-cr,jp1529-cr-me,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",33,3,30,3,0
jp1529-bl,jp1529-bl-la,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",0,2,0,0,0
jp1509,jp1509-me,"Udei (brown) Unglazed Japanese Bonsai Pot (6-8"")",16,5,11,0,0
jp1500,jp1500-sm,"5-6"" Unglazed Japanese Bonsai Pot (No. 1500)",0,3,0,0,0
jp9,jp0835,"8"" Round Japanese Bonsai Pot",17,4,13,5,0
jp9,jp0834,"8"" Round Japanese Bonsai Pot",34,7,27,6,0
jp9,jp0833,"8"" Round Japanese Bonsai Pot",49,18,31,4,0
jp9,jp0832,"8"" Round Japanese Bonsai Pot",66,10,56,7,0
jp0819-23,jp0823,5-Inch Bonsai Pot - Boat Style is ideal for Bonsai or Succulents,0,2,0,0,0
jp0819-23,jp0819,5-Inch Bonsai Pot - Boat Style is ideal for Bonsai or Succulents,0,8,0,0,0
jp04-27,jp0427-sm,Blue (round) Glazed Bonsai Pot (No. 04-27),10,1,9,1,0
jp04-26,jp0426-sm,Brown (round) Unglazed Bonsai Pot (No. 04-26),1,3,0,0,0
jp012,jp012-C,4-Inch Pot - Ideal for Succulents,111,2,109,1,0
jp012,jp012-B,4-Inch Pot - Ideal for Succulents,84,3,81,5,0
jp29-15,jp-1918sm,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0,2,0,0,0
jp29-15,jp-1918-la,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0,1,0,0,0
jp1552-bl,jp1552-bl-sm,"9-12"" Blue Glazed Japanese Bonsai Pot (No. 1552)",46,1,45,4,0
jp1552-br,jp1552-br-me,"9-12"" Brown Unglazed Japanese Bonsai Pot (No. 1552)",24,9,15,0,0
jp19-27,jp1927-sm,Oribe Glazed Rectangle Bonsai Pot,101,1,100,5,0
jp1552-br,jp1552-br-sm,"9-12"" Brown Unglazed Japanese Bonsai Pot (No. 1552)",32,10,22,0,0
jp19-26,jp1926-la,"7-8"" Cream Glazed Rectangle Bonsai Pot",64,2,62,0,0
jp19-25,jp1925-sm,Namako (Dark Blue) Glazed Rectangle Japanese Bonsai Pot,46,4,42,3,0
jp19-25,jp1925-la,Namako (Dark Blue) Glazed Rectangle Japanese Bonsai Pot,60,1,59,1,0
jp19-23,jp1923-sm,"6-8"" Green Glazed Bonsai Pot (No. 1923)",85,3,82,1,0
jp19-23,jp1923-me,"6-8"" Green Glazed Bonsai Pot (No. 1923)",66,2,64,9,0
jp19-23,jp1923-la,"6-8"" Green Glazed Bonsai Pot (No. 1923)",110,3,107,5,0
jp19-22,jp1922-sm,"6-8"" Cream Glazed Japanese Bonsai Pot (No. 1922)",144,3,141,4,0
jp19-22,jp1922-me,"6-8"" Cream Glazed Japanese Bonsai Pot (No. 1922)",49,7,42,17,0
jp19-22,jp1922-la,"6-8"" Cream Glazed Japanese Bonsai Pot (No. 1922)",107,14,93,6,0
jp19-21,jp1921-sm,"6-8"" Namako Glazed Japanese Bonsai Pot (No. 1921)",203,3,200,2,0
jp19-21,jp1921-la,"6-8"" Namako Glazed Japanese Bonsai Pot (No. 1921)",137,4,133,9,0
jp19-20,jp1920-sm,"5-6"" Glazed Japanese Bonsai Pot (Olive/Green)",52,4,48,0,0
jp19-20,jp1920-la,"5-6"" Glazed Japanese Bonsai Pot (Olive/Green)",7,10,0,0,0
jp19-18,jp1918-sm,"5-6"" Namako Glazed Tokoname Pot (Choose Size)",5,4,1,0,0
jp19-18,jp1918-la,"5-6"" Namako Glazed Tokoname Pot (Choose Size)",3,2,1,0,0
jp1915-17,jp1915N,"Green (rectangle) Glazed Bonsai Pot (7-11"")",0,7,0,0,0
jp19-15,jp1915-la,Cream Glazed Japanese Bonsai Pot (No. 19-15),0,4,0,0,0
jp19-14,jp1914-sm,Namako (blue) Glazed Bonsai Pot,33,12,21,2,0
jp19-14,jp1914-me,Namako (blue) Glazed Bonsai Pot,21,3,18,15,0
jp19-13,jp1913-sm,Udei (brown) Unglazed Bonsai Pot,49,10,39,7,0
jp198-10,jp1910,"Cream (rectangle) Glazed Bonsai Pot (7-11"")",12,1,11,3,0
jp191-3,jp191,"Dark Blue (rectangle) Glazed Bonsai Pot (7-11"")",405,8,397,0,0
jp1552-cr,jp1552-cr-sm,"9-12"" Cream Glazed Japanese Bonsai Pot (No. 1552)",40,5,35,8,0
jp1552-cr,jp1552-cr-me,"9-12"" Cream Glazed Japanese Bonsai Pot (No. 1552)",46,4,42,6,0
jp1552-cr,jp1552-cr-la,"9-12"" Cream Glazed Japanese Bonsai Pot (No. 1552)",45,6,39,0,0
jp28-9,NB-jp28-9,"5"" Glazed Round Japanese Bonsai Pot (Choose Color)",45,1,44,1,0
